,Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
0,0,0,bocconcini,273.8,23.075,13.522,6.969,1.846,1.043,0.747,15.48,0.0,88.064,0.34,42.34,0.055,0.015,0.025,0.087,0.106,0.072,0.199,0.069,0.0,0.097,0.059,0.006,446.625,0.031,0.058,15.645,0.011,220.861,120.665,0.01,2.161,627.874
1,1,1,low moisture mozzarella,216.7,13.323,9.992,3.584,0.386,0.577,0.255,23.623,0.0,22.522,0.203,39.575,0.144,0.022,0.018,0.314,0.119,0.064,0.254,0.092,0.0,0.263,0.024,0.004,412.43,0.02,0.261,28.248,0.015,250.196,85.675,0.019,4.072,1544.607
2,2,2,white cheddar,232.4,14.165,8.23,3.045,0.368,2.708,1.045,23.529,0.0,99.098,0.559,32.839,0.107,0.035,0.019,1.399,0.067,0.141,0.309,0.051,0.0,0.215,0.001,0.003,597.745,0.073,0.148,13.532,0.007,504.766,117.866,0.01,3.231,1528.114
3,3,3,smoked halloumi,230.2,18.895,13.17,4.44,0.812,0.499,0.229,14.532,0.0,68.366,0.451,36.123,0.026,0.016,0.014,0.211,0.231,0.12,0.489,0.065,0.0,0.246,0.193,0.0,493.415,0.031,0.446,18.461,0.012,345.174,55.747,0.033,3.641,756.608
4,4,4,herbed brie,344.5,26.733,13.607,9.089,0.588,4.466,0.902,21.498,0.0,45.204,0.478,33.972,0.023,0.021,0.007,0.584,0.158,0.177,0.222,0.05,0.0,0.383,0.077,0.003,961.197,0.011,0.218,22.079,0.014,213.397,51.673,0.022,2.9,902.629
5,5,5,smoked gruyere,263.2,20.402,12.955,4.815,1.122,0.782,0.604,19.114,0.0,76.04,0.22,43.252,0.037,0.028,0.064,0.207,0.405,0.121,0.382,0.117,0.0,0.164,0.125,0.001,332.521,0.029,0.234,22.214,0.014,351.825,206.838,0.012,9.741,873.259
6,6,6,gruyere aged,291.1,24.611,12.65,5.316,1.477,1.842,0.912,15.546,0.0,57.854,0.271,25.881,0.056,0.029,0.025,0.148,0.273,0.119,0.212,0.065,0.0,0.21,0.086,0.004,661.824,0.057,0.305,8.979,0.005,430.07,129.291,0.022,17.161,690.862
7,7,7,fresh parmesan,283.0,23.946,17.097,7.615,1.509,1.892,0.464,14.986,0.0,53.3,0.336,38.655,0.51,0.001,0.04,0.11,0.197,0.154,0.306,0.028,0.0,0.113,0.268,0.002,557.152,0.031,0.135,37.152,0.013,155.691,109.771,0.009,3.829,521.16
8,8,8,smoked halloumi smoked,155.0,12.111,7.133,3.573,0.811,0.982,0.3,10.518,0.0,43.28,1.298,41.24,0.029,0.029,0.167,0.914,0.117,0.076,0.427,0.039,0.0,0.285,0.277,0.001,485.338,0.004,0.098,17.979,0.004,672.43,48.916,0.011,2.669,969.103
9,9,9,smoked halloumi canned,385.3,37.003,16.873,12.137,1.85,1.583,0.697,11.48,0.0,44.444,0.469,34.917,0.088,0.027,0.098,0.149,0.726,0.002,0.285,0.078,0.0,0.25,0.138,0.003,390.765,0.021,0.285,22.856,0.007,501.585,116.608,0.026,3.425,211.459
10,10,10,herbed feta,179.6,11.892,6.469,3.651,0.737,1.288,0.845,16.858,0.0,44.637,0.625,36.382,0.067,0.031,0.046,0.767,0.48,0.101,0.368,0.051,0.0,0.259,0.187,0.003,673.297,0.018,0.409,11.952,0.004,556.228,148.562,0.023,3.423,1530.901
11,11,11,smoked cheddar,265.8,17.89,9.124,4.902,0.644,1.099,0.258,25.11,0.0,51.093,0.577,33.49,0.041,0.022,0.026,0.267,0.198,0.112,0.155,0.018,0.0,0.113,0.179,0.004,1045.537,0.05,0.184,19.848,0.005,347.418,86.56,0.019,1.653,1559.605
12,12,12,white cheddar canned,303.4,23.337,17.503,6.184,1.354,0.943,0.42,22.405,0.0,60.379,0.477,31.816,0.082,0.025,0.085,0.862,0.734,0.062,0.387,0.066,0.0,1.153,0.119,0.001,370.522,0.008,0.147,13.927,0.011,401.27,255.508,0.029,1.874,819.109
13,13,13,young gruyere,216.0,11.486,7.454,2.343,0.999,0.906,0.052,27.248,0.0,118.07,0.42,47.903,0.022,0.014,0.02,0.415,0.2,0.131,0.193,0.056,0.0,0.22,0.251,0.004,284.942,0.012,0.328,22.659,0.006,650.925,105.954,0.034,2.586,1876.756
14,14,14,cream cheese light,503.9,45.0,33.75,11.61,3.105,2.728,0.565,22.007,0.0,84.552,0.849,23.93,0.031,0.0,0.015,0.71,0.53,0.104,0.463,0.019,0.0,0.051,0.194,0.004,491.893,0.009,0.191,9.564,0.013,405.278,62.504,0.01,1.472,241.9
15,15,15,colby jack,215.0,17.445,12.142,3.855,1.047,0.746,0.283,13.751,0.0,35.756,0.323,28.417,0.385,0.02,0.01,0.475,0.236,0.089,0.361,0.083,0.0,0.131,0.142,0.002,158.166,0.012,0.337,33.16,0.009,440.784,116.839,0.129,4.376,653.839
16,16,16,white cheddar high protein,204.3,16.885,8.51,3.208,0.912,0.511,0.138,12.562,0.0,34.938,1.238,45.053,0.079,0.035,0.022,0.201,0.535,0.127,0.196,0.054,0.0,0.099,0.062,0.005,1298.956,0.013,0.256,14.795,0.008,276.159,64.921,0.016,1.65,1180.228
17,17,17,stracciatella,247.0,20.606,12.261,5.316,0.659,1.888,0.944,13.498,0.0,36.803,0.478,44.011,0.021,0.025,0.01,0.631,0.171,0.01,0.137,0.061,0.0,0.246,0.11,0.004,217.859,0.029,0.079,14.785,0.01,248.084,82.508,0.03,1.874,531.274
